Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
West Hert I-Survy Art I,70003,ART,250,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Benjamin R  Entner,30
Project in BHI,70028,BHI,699,2,Graduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Activity,Isabelle   Bichindaritz,30
Human Genetics,70010,BIO,211,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Anthony L  Contento,30
Cellular Physiology,70142,BIO,309,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Poongodi   Geetha-Loganathan,30
Biotechnology,70122,BIO,318,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Poongodi   Geetha-Loganathan,30
Survey of Chemistry,70012,CHE,101,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Martha   Bruch,30
Chemistry & Public Concern,70014,CHE,209,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Fehmi   Damkaci,30
Strategic Communication in Bus,70021,COM,211,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Seminar,Rose Marie   Crisalli,30
Survey of Health Communication,70025,COM,316,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Taejin   Jung,30
Crime and Society,70116,CRJ,347,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Omara   Rivera-Vazquez,30
Research Methods CRJ,70117,CRJ,387,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Celinet   Duran,30
Seminar in Criminal Justice,70121,CRJ,401,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Dec 14, 2020 - Jan 22, 2021",Lecture,Jaclyn   Schildkraut,30
