Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Individual Cognitive Assessmen,90199,CPS,587,1,Graduate ,3,,4:30 pm - 7:15 pm,W,Mahar Hall 108,"Aug 26, 2020 - Aug 26, 2020",Lecture,Laura M  Spenceley,30
Individual Cognitive Assessmen,90921,CPS,587,2,Graduate ,3,,4:30 pm - 7:15 pm,W,Mahar Hall 108,"Aug 26, 2020 - Aug 26, 2020",Lecture,Laura M  Spenceley,30
Principles Of Accounting II,20183,ACC,202,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Dean   Crawford,30
Intermediate Accounting II,20527,ACC,302,4,Undergraduate ,3,,1:00 pm - 4:25 pm,TR,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Laura Bea  Lamb,30
Sculpture I,20489,ART,245,5,Undergraduate ,3,,9:00 am - 11:30 am,MTWRF,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Studio,Benjamin R  Entner,30
West Hert I-Survy Art I,20191,ART,250,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Benjamin R  Entner,30
Intro to Illustration I,20490,ART,312,7,Undergraduate ,3,,12:30 pm - 3:00 pm,MTWRF,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Studio,Jason M  Cheney,30
Sculpture,20487,ART,345,1,Undergraduate ,3,,9:00 am - 11:30 am,MTWRF,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Studio,Benjamin R  Entner,30
"3 Dimensional,Experi. Studio",20194,ART,397,2,Undergraduate ,3,,9:00 am - 11:30 am,MTWRF,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Studio,Benjamin R  Entner,30
Traditional Illustration II,20491,ART,412,3,Undergraduate ,3,,12:30 pm - 3:00 pm,MTWRF,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Studio,Jason M  Cheney,30
Grad Illustration-Traditional,20353,ART,512,4,Graduate ,3,,12:30 pm - 3:00 pm,MTWRF,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Studio,Jason M  Cheney,30
Amer Sign Language II,20473,ASL,102,5,Undergraduate ,3,,4:00 pm - 9:00 pm,T,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Laura   Latray-Corey,30
Biomedical/Health Terminology,20073,BHI,552,6,Graduate ,3,,TBA,TBA,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Joseph A  Miles,30
Bioinformatics,20075,BHI,557,7,Graduate ,3,,TBA,TBA,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Boseon   Byeon,30
Graduate Internship in BHI,20619,BHI,698,1,Graduate ,3,,TBA,TBA,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Internship,Isabelle   Bichindaritz,30
Human Biology,20202,BIO,203,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Elizabeth   Balko,30
Human Genetics,20493,BIO,211,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Christina Isabella  Winterton,30
Biotechnology,20377,BIO,318,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jul 06, 2020 - Aug 14, 2020",Lecture,Poongodi   Geetha-Loganathan,30
