Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Internship in School Psych,12043,CPS,617,1,Graduate ,3,,9:00 am - 12:00 pm,F,Mahar Hall 314,"Feb 10, 2017 - Feb 10, 2017",Paid Internship,James L  McDougal,30
DASA Training,11694,DASA,1020,2,"Undergraduate, Non-matric undergraduate, Non-matric graduate, Graduate ",3,,8:30 am - 3:30 pm,S,Marano Campus Center 211,"Feb 11, 2017 - Feb 11, 2017",Lecture,Carlo   Cuccaro,30
Student Teaching,11067,ADO,420,3,Undergraduate ,3,,TBA,TBA,Off Campus ,"Jan 19, 2017 - Mar 12, 2017",Student Teaching,Unassigned   Staff,30
Student Teaching Grades 7-12A,11191,ADO,595,4,Graduate ,3,,TBA,TBA,Off Campus ,"Jan 19, 2017 - Mar 12, 2017",Student Teaching,Unassigned   Staff,30
Childhood Student Teaching,11066,CED,420,5,Undergraduate ,3,,TBA,TBA,Off Campus ,"Jan 19, 2017 - Mar 12, 2017",Student Teaching,Unassigned   Staff,30
School Principalship,10796,EAD,610,6,Graduate ,3,,4:30 pm - 9:45 pm,M,Palmyra-Macedon CSD ,"Jan 23, 2017 - Feb 13, 2017",Lecture,Angela   Perrotto,30
School Principalship,10587,EAD,610,7,Graduate ,3,,4:30 pm - 9:45 pm,M,Sonata 129,"Jan 23, 2017 - Mar 06, 2017",Lecture,Jeffrey S.  Craig,30
TS:Global Cities: Berlin,12666,GER,395,1,Undergraduate ,3,,4:00 pm - 5:30 pm,R,Marano Campus Center 256,"Jan 23, 2017 - Mar 10, 2017",Seminar,Ana   Djukic-Cocks,30
Global Cities: Ireland/Dublin,11158,GLS,100,2,Undergraduate ,3,,5:30 pm - 6:30 pm,W,Shineman Center 185,"Jan 23, 2017 - Mar 10, 2017",Lecture,Jeffery A.  Schneider,30
A Global City:Berlin,12694,GLS,100,3,Undergraduate ,3,,4:00 pm - 5:30 pm,R,Marano Campus Center 256,"Jan 23, 2017 - Mar 10, 2017",Lecture,Ana   Djukic-Cocks,30
Global Cities: Rome,11182,GLS,100,4,Undergraduate ,3,,3:00 pm - 4:30 pm,M,Marano Campus Center 242,"Jan 23, 2017 - Mar 10, 2017",Lecture,Joseph   Alessia,30
A Global City:London,12691,GLS,100,5,Undergraduate ,3,,4:30 pm - 5:30 pm,W,Penfield Library 101,"Jan 23, 2017 - Mar 10, 2017",Lecture,Thomas J.  Larson,30
Freshmen Colloquium,11323,ART,111,6,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 102A,"Jan 23, 2017 - Mar 10, 2017",Studio,Benjamin R  Entner,30
Transfer Student Colloquim,11196,ART,311,7,Undergraduate ,3,,5:15 pm - 6:30 pm,W,Hewitt Union 1A,"Jan 23, 2017 - Mar 10, 2017",Studio,Elizabeth Nichole  Hunt,30
"SS:Great Britain, Great Screen",11952,CRW,395,1,Undergraduate ,3,,1:00 pm - 2:20 pm,S,Marano Campus Center 323,"Jan 23, 2017 - Mar 10, 2017",Lecture,Juliet A  Giglio,30
Organization Change,12839,EAD,660,2,Graduate ,3,,4:30 pm - 10:00 pm,M,Palmyra-Macedon CSD ,"Jan 23, 2017 - Mar 13, 2017",Lecture,Danielle M  Dehm,30
Strat Instr in the Disciplines,11735,EDU,104,3,Undergraduate ,3,,1:50 pm - 2:45 pm,MW,Marano Campus Center 164,"Jan 23, 2017 - Mar 13, 2017",Lecture,Allison R  Peer,30
Strat Instr in the Disciplines,12203,EDU,104,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Marano Campus Center 164,"Jan 23, 2017 - Mar 13, 2017",Lecture,Allison R  Peer,30
Strat Instr in the Disciplines,12289,EDU,104,5,Undergraduate ,3,,11:30 am - 12:25 pm,MW,Marano Campus Center 164,"Jan 23, 2017 - Mar 13, 2017",Lecture,Alicia R  King,30
Strat Instr in the Disciplines,12292,EDU,104,6,Undergraduate ,3,,11:10 am - 12:05 pm,TR,Marano Campus Center 164,"Jan 23, 2017 - Mar 13, 2017",Lecture,Alicia R  King,30
Integrated Science/Tech Method,12765,CED,552,7,Graduate ,3,,3:00 pm - 7:30 pm,T,Sonata 105,"Jan 23, 2017 - Mar 17, 2017",Activity,Eric   Olson,30
Intro. to Geography,10277,GEG,100,1,Undergraduate ,3,,6:00 pm - 8:40 pm,R,Mahar Hall 201,"Jan 23, 2017 - May 05, 2017",Lecture,Amy   D'Angelo,30
Physical Geology,10373,GEO,100,2,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Park Hall 315,"Jan 23, 2017 - May 05, 2017",Lecture,Allen   Andersen,30
Physical Geology Lab,11124,GEO,101,3,Undergraduate ,3,,2:20 pm - 5:15 pm,R,Shineman Center 372,"Jan 23, 2017 - May 05, 2017",Laboratory,Rachel   Lee,30
Environmental Sustainability,11120,GEO,115,4,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 170,"Jan 23, 2017 - May 05, 2017",Lecture,Carl J  Pierce,30
Environmental Sustainability,11127,GEO,115,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 23, 2017 - May 05, 2017",Distance Learning,Kevin John  Finerghty,30
Historical Geology,10809,GEO,200,6,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Shineman Center 172,"Jan 23, 2017 - May 05, 2017",Lecture,Brian   Hough,30
Historical Geology Lab,10850,GEO,201,7,Undergraduate ,3,,9:35 am - 12:15 pm,T,Shineman Center 370,"Jan 23, 2017 - May 05, 2017",Laboratory,Brian   Hough,30
Historical Geology Lab,12969,GEO,201,1,Undergraduate ,3,,2:20 pm - 5:15 pm,T,Shineman Center 372,"Jan 23, 2017 - May 05, 2017",Laboratory,Brian   Hough,30
Earth Resources,11397,GEO,305,2,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Shineman Center 174,"Jan 23, 2017 - May 05, 2017",Lecture,Rachel   Lee,30
Earth Resources,11557,GEO,305,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 23, 2017 - May 05, 2017",Distance Learning,David   Valentino,30
Earth's Fury,11554,GEO,315,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 23, 2017 - May 05, 2017",Distance Learning,Kevin John  Finerghty,30
